YEAR,MO,DY,T2M_MIN,T2M_MAX,RH2M,WS2M,ALLSKY_SFC_SW_DWN,ET0
2010,3,5,18.28,36.72,32.93,1.91,22.284000000000002,7.836
2010,3,6,20.1,36.93,33.49,1.19,22.752000000000002,7.172
2010,3,7,21.89,37.31,34.67,2.18,23.58,8.496
2010,3,8,20.8,37.41,40.62,3.44,21.312,8.77
2010,3,9,18.87,37.6,37.61,3.46,24.876,9.682
2010,3,10,18.32,36.47,43.84,3.66,25.02,9.18
2010,3,11,19.01,35.94,46.81,4.11,24.156,9.003
2010,3,12,18.03,35.71,47.92,3.84,25.236,8.883
2010,3,13,17.62,36.9,40.14,2.9,18.540000000000003,7.632
2010,3,14,19.83,35.1,40.64,1.84,20.844,7.011
2010,3,15,20.65,37.35,36.77,2.22,21.456,7.931
2010,3,16,23.12,36.74,35.29,3.04,19.224,8.37
2010,3,17,21.94,34.18,36.07,3.08,23.148,8.797
2010,3,18,18.73,35.37,38.43,3.75,22.896,9.109
2010,3,19,16.38,35.79,38.4,2.96,23.94,8.678
2010,3,20,18.36,36.97,35.41,2.9,21.6,8.586
2010,3,21,19.02,37.15,27.33,2.93,23.616,9.603
2010,3,22,18.72,37.24,23.77,2.67,24.084000000000003,9.64
2010,3,23,17.97,37.56,28.62,2.82,24.876,9.686
2010,3,24,18.08,37.62,32.71,2.98,24.336,9.478
2010,3,25,17.68,37.84,33.92,3.41,24.192,9.784
2010,3,26,20.08,37.63,42.22,2.96,24.768,8.977
2010,3,27,21.22,37.29,48.45,3.07,21.672,8.0
2010,3,28,22.2,38.01,48.11,3.33,22.572,8.509
2010,3,29,22.84,38.36,42.54,2.42,21.996000000000002,8.095
2010,3,30,23.05,38.34,40.1,2.31,22.644000000000002,8.277
2010,3,31,24.45,30.51,53.28,1.16,16.02,4.833
2010,4,1,20.93,37.37,36.18,2.91,26.856,9.768
2010,4,2,21.05,38.53,28.29,1.57,26.496000000000002,8.835
2010,4,3,23.54,38.48,40.05,2.96,24.336,9.273
2010,4,4,23.89,38.43,38.69,3.64,24.336,9.966
2010,4,5,20.84,38.08,39.05,2.94,26.82,9.687
2010,4,6,22.77,37.37,48.98,3.0,26.244,8.938
2010,4,7,22.69,38.55,37.64,3.08,25.164,9.697
2010,4,8,22.53,36.12,41.44,2.92,24.696,8.9
2010,4,9,22.39,39.0,35.53,1.79,25.416,8.633
2010,4,10,24.34,37.21,33.59,0.9,24.732,7.436
2010,4,11,23.69,37.89,30.44,1.68,23.471999999999998,8.223
2010,4,12,22.87,36.34,49.79,1.47,22.176000000000002,6.83
2010,4,13,22.96,32.52,65.02,1.49,24.336,6.562
2010,4,14,22.64,30.57,66.91,0.55,21.132,5.341
2010,4,15,22.45,34.28,62.76,1.65,24.948,6.928
2010,4,16,20.62,35.98,54.77,1.77,25.092,7.386
2010,4,17,21.16,35.86,56.36,2.18,25.02,7.54
2010,4,18,22.74,30.76,68.89,1.7,23.508000000000003,6.194
2010,4,19,21.6,29.25,73.74,1.43,23.832,5.91
2010,4,20,21.04,30.93,68.14,1.94,25.776,6.689
2010,4,21,21.34,31.2,72.31,1.83,22.932000000000002,5.933
2010,4,22,21.26,34.21,60.91,0.89,26.028000000000002,6.84
2010,4,23,21.51,34.39,58.0,1.57,24.228,6.878
2010,4,24,21.84,32.9,63.5,1.05,21.708000000000002,5.819
2010,4,25,22.23,33.37,63.33,1.26,25.524,6.814
2010,4,26,21.5,35.51,55.44,3.21,24.984,8.091
2010,4,27,21.56,34.18,62.4,2.18,23.832,6.871
2010,4,28,20.96,34.43,61.47,1.36,24.048,6.596
2010,4,29,21.84,32.53,64.71,1.48,25.056,6.679
2010,4,30,21.95,28.53,71.99,1.86,13.788,3.927
2010,5,1,20.75,30.49,65.62,1.22,22.572,5.855
2010,5,2,21.45,30.09,63.38,0.92,21.276,5.517
2010,5,3,20.78,32.06,66.7,1.08,25.92,6.611
2010,5,4,21.45,31.64,68.22,1.66,25.344,6.597
2010,5,5,20.33,34.67,61.33,1.36,24.516,6.696
2010,5,6,21.2,35.51,61.54,1.84,25.956,7.312
2010,5,7,22.45,37.05,58.19,2.63,24.696,7.763
2010,5,8,21.58,36.9,58.4,2.12,23.58,7.199
2010,5,9,22.61,34.84,61.77,1.5,23.040000000000003,6.515
2010,5,10,22.88,35.64,62.64,1.54,21.384,6.188
2010,5,11,22.76,34.7,63.77,2.33,21.96,6.554
2010,5,12,22.99,34.76,63.05,1.62,24.264000000000003,6.807
2010,5,13,22.74,36.61,57.18,1.14,25.452,7.129
2010,5,14,23.69,33.7,64.38,1.51,23.364,6.475
2010,5,15,22.89,35.41,62.18,1.62,24.156,6.853
2010,5,16,22.24,33.62,66.7,1.62,21.492,5.958
2010,5,17,22.04,32.02,71.05,2.15,24.948,6.556
2010,5,18,22.88,30.78,73.94,1.48,21.672,5.58
2010,5,19,22.51,26.99,86.19,3.71,6.408,2.073
2010,5,20,21.69,29.91,80.85,5.02,11.808,3.68
2010,5,21,22.49,30.13,76.1,5.49,15.588000000000001,4.86
2010,5,22,21.59,32.47,73.99,4.14,22.14,6.155
2010,5,23,21.18,30.64,78.2,3.16,23.616,5.88
2010,5,24,22.31,32.59,73.01,3.82,25.596,6.886
2010,5,25,22.54,32.34,72.37,3.82,25.128000000000004,6.837
2010,5,26,22.02,29.77,77.8,4.24,25.488,6.278
2010,5,27,20.74,35.74,63.88,4.26,27.540000000000003,8.31
2010,5,28,20.71,35.57,65.25,3.81,27.252000000000002,8.001
2010,5,29,21.34,34.47,69.71,4.04,24.912,7.169
2010,5,30,21.35,30.1,74.64,4.29,24.66,6.361
2010,5,31,20.92,30.14,76.08,3.83,24.912,6.247
2010,6,1,21.13,33.36,69.83,3.2,26.064,7.106
2010,6,2,21.03,33.61,70.46,2.85,25.668,6.938
2010,6,3,21.57,31.49,73.09,2.96,23.904,6.309
2010,6,4,21.2,29.57,76.3,2.66,24.732,6.104
2010,6,5,21.48,29.71,75.53,3.2,20.664,5.434
2010,6,6,20.21,23.82,82.59,4.7,23.184,4.949
2010,6,7,20.02,27.36,78.63,4.27,20.52,5.043
2010,6,8,19.37,28.79,76.55,3.63,22.968,5.655
2010,6,9,20.31,28.8,80.53,2.84,18.828000000000003,4.653
2010,6,10,21.02,27.75,80.81,2.08,16.416,4.088
2010,6,11,19.92,30.15,75.37,1.08,13.284,3.493
2010,6,12,21.64,27.1,83.71,3.75,13.284,3.457
2010,6,13,21.0,29.88,80.58,4.57,18.540000000000003,4.795
2010,6,14,20.16,28.27,77.85,5.39,17.28,4.713
2010,6,15,19.94,29.52,77.76,5.18,17.964000000000002,4.9
2010,6,16,19.69,29.2,79.85,3.87,21.456,5.22
2010,6,17,20.78,29.54,77.6,4.65,16.272,4.616
2010,6,18,20.05,28.55,77.52,4.69,18.432000000000002,4.888
2010,6,19,19.58,30.9,75.74,3.98,22.464000000000002,5.826
2010,6,20,21.08,28.29,79.66,3.0,22.752000000000002,5.459
2010,6,21,19.81,28.39,77.84,2.47,22.428,5.416
2010,6,22,20.31,28.86,79.35,3.68,23.652,5.652
2010,6,23,20.68,30.37,74.3,5.06,19.836,5.611
2010,6,24,19.69,26.91,79.81,5.49,16.092,4.24
2010,6,25,19.57,28.8,75.08,5.68,16.992,4.953
2010,6,26,20.12,30.33,76.02,5.27,16.452,4.884
2010,6,27,21.1,30.56,75.22,4.36,21.492,5.782
2010,6,28,20.52,32.6,72.32,4.14,24.12,6.606
2010,6,29,21.11,30.86,74.54,4.05,24.66,6.401
2010,6,30,20.11,28.38,76.65,5.29,19.944,5.246
2010,7,1,18.7,26.48,78.56,5.2,15.336,4.127
2010,7,2,18.19,28.54,73.4,5.6,14.22,4.567
2010,7,3,19.05,28.28,75.44,5.74,17.352,4.912
2010,7,4,19.18,29.61,77.4,4.38,21.168,5.377
2010,7,5,19.37,25.33,78.58,4.65,15.840000000000002,4.12
2010,7,6,18.85,26.57,81.39,4.19,17.028000000000002,4.142
2010,7,7,18.5,26.74,80.05,3.42,15.084000000000001,3.845
2010,7,8,18.24,27.67,79.26,1.94,13.824,3.523
2010,7,9,19.59,23.84,83.61,1.57,16.164,3.698
2010,7,10,19.23,30.13,77.23,0.88,21.06,5.097
2010,7,11,21.51,28.25,79.77,1.19,22.464000000000002,5.372
2010,7,12,21.06,26.76,83.75,2.31,18.215999999999998,4.285
2010,7,13,20.19,28.56,77.03,3.08,18.18,4.728
2010,7,14,18.83,30.26,72.92,3.75,23.652,6.123
2010,7,15,19.98,27.99,77.35,3.87,19.259999999999998,4.932
2010,7,16,19.75,27.76,82.29,3.34,15.912,3.957
2010,7,17,19.2,26.22,80.66,4.3,17.856,4.33
2010,7,18,18.49,29.45,77.13,4.21,20.376,5.201
2010,7,19,19.34,29.1,80.59,4.33,18.648,4.668
2010,7,20,20.33,27.73,79.74,5.72,15.552000000000001,4.265
2010,7,21,19.92,26.97,81.76,5.08,11.664000000000001,3.358
2010,7,22,18.75,28.44,80.07,4.46,12.132000000000001,3.545
2010,7,23,18.97,29.34,76.66,4.57,18.036,4.884
2010,7,24,19.34,26.71,79.41,4.78,12.708,3.647
2010,7,25,19.12,26.39,82.21,4.86,15.552000000000001,3.867
2010,7,26,19.44,28.79,76.64,5.94,16.272,4.716
2010,7,27,19.92,29.36,77.29,5.09,16.776,4.721
2010,7,28,19.66,29.69,80.02,5.14,14.04,4.05
2010,7,29,19.95,26.15,84.98,5.33,14.364,3.494
2010,7,30,18.72,28.15,80.33,5.16,15.912,4.187
2010,7,31,18.42,28.48,79.85,4.8,18.252000000000002,4.594
2010,8,1,19.42,29.61,76.72,4.7,17.28,4.807
2010,8,2,19.48,28.25,79.01,4.23,18.0,4.617
2010,8,3,19.94,28.13,81.44,4.68,14.436,3.874
2010,8,4,20.22,26.55,82.85,4.46,15.336,3.825
2010,8,5,19.73,28.63,79.29,3.91,19.152,4.814
2010,8,6,19.5,30.22,75.97,4.31,18.971999999999998,5.164
2010,8,7,19.9,29.84,77.86,3.54,18.756,4.9
2010,8,8,20.08,28.82,79.9,3.63,18.324,4.637
2010,8,9,20.13,29.42,76.48,3.95,18.864,5.038
2010,8,10,19.74,30.66,73.71,4.08,24.228,6.29
2010,8,11,19.52,30.05,75.46,4.1,16.416,4.714
2010,8,12,21.08,26.58,83.98,3.51,17.388,4.119
2010,8,13,20.47,29.73,76.69,3.17,14.796000000000001,4.204
2010,8,14,20.37,29.88,77.51,2.39,16.524,4.373
2010,8,15,21.05,26.06,85.33,1.9,16.884,3.926
2010,8,16,20.32,27.69,86.13,2.7,16.344,3.824
2010,8,17,19.28,28.25,79.82,3.76,14.940000000000001,3.98
2010,8,18,19.16,26.84,80.32,4.15,17.1,4.258
2010,8,19,18.98,28.2,79.47,3.16,17.172,4.335
2010,8,20,19.84,24.79,88.51,2.33,12.996,2.949
2010,8,21,20.63,25.42,89.0,1.85,16.128000000000004,3.603
2010,8,22,19.95,25.24,88.27,2.26,17.568,3.853
2010,8,23,19.95,26.19,87.68,3.16,13.248000000000001,3.09
2010,8,24,20.28,25.08,89.18,3.84,16.02,3.436
2010,8,25,18.94,25.51,85.67,4.07,9.072000000000001,2.467
2010,8,26,19.22,26.77,85.26,3.28,13.751999999999999,3.321
2010,8,27,19.68,27.05,85.81,3.4,18.864,4.236
2010,8,28,19.53,28.25,84.4,3.37,18.971999999999998,4.402
2010,8,29,20.53,26.25,87.6,3.48,15.515999999999998,3.522
2010,8,30,18.45,25.09,89.43,4.31,12.672,2.779
2010,8,31,17.03,26.86,81.58,4.93,15.624,3.867
2010,9,1,18.06,28.94,80.23,3.9,21.492,5.098
2010,9,2,18.48,28.05,82.05,3.55,15.912,3.949
2010,9,3,19.48,26.72,83.86,3.86,10.08,2.805
2010,9,4,19.5,28.56,82.3,3.65,16.56,4.122
2010,9,5,18.92,27.27,83.42,3.65,17.712,4.156
2010,9,6,18.71,29.03,80.38,4.11,15.552000000000001,4.104
2010,9,7,18.72,26.49,84.7,3.99,15.084000000000001,3.574
2010,9,8,18.75,28.19,81.82,4.36,14.832,3.845
2010,9,9,19.39,27.12,84.68,3.0,16.056,3.787
2010,9,10,19.25,27.58,84.76,2.69,17.208000000000002,4.012
2010,9,11,19.06,27.06,83.17,2.69,15.659999999999998,3.769
2010,9,12,19.43,26.88,84.82,2.59,17.82,4.098
2010,9,13,18.87,27.75,82.37,2.9,18.072,4.294
2010,9,14,18.33,27.27,84.0,3.27,15.659999999999998,3.727
2010,9,15,17.45,25.58,87.84,3.3,16.992,3.621
2010,9,16,17.8,27.62,83.09,3.59,15.048,3.684
2010,9,17,18.18,25.47,84.79,3.28,14.436,3.373
2010,9,18,18.69,26.95,84.01,2.9,14.256,3.457
2010,9,19,18.27,28.33,82.32,2.06,20.124,4.683
2010,9,20,19.42,28.17,78.64,1.44,18.072,4.403
2010,9,21,20.59,27.01,85.35,0.79,20.088,4.653
2010,9,22,19.76,27.25,84.31,0.93,21.276,4.9
2010,9,23,19.45,27.75,83.41,1.12,23.544,5.402
2010,9,24,18.95,28.76,80.75,0.65,20.088,4.737
2010,9,25,20.24,27.74,85.05,0.73,21.78,5.05
2010,9,26,20.35,27.61,85.37,1.51,19.872,4.584
2010,9,27,19.87,27.66,85.61,2.71,16.668,3.894
2010,9,28,19.88,26.52,87.17,2.73,20.16,4.416
2010,9,29,19.18,27.02,85.17,2.04,23.003999999999998,5.105
2010,9,30,18.16,28.62,80.41,1.75,21.888,5.117
2010,10,1,18.91,27.14,85.42,1.73,18.791999999999998,4.275
2010,10,2,19.46,27.11,86.62,1.74,19.44,4.383
2010,10,3,19.61,27.34,86.75,1.73,20.376,4.585
2010,10,4,19.6,27.39,82.3,0.89,20.988,4.879
2010,10,5,19.38,29.41,80.11,0.67,18.756,4.49
2010,10,6,20.21,26.74,89.06,2.13,16.128000000000004,3.62
2010,10,7,19.68,28.1,82.3,2.11,19.692,4.646
2010,10,8,20.2,27.36,86.08,1.15,16.668,3.886
2010,10,9,20.63,27.06,84.87,1.86,14.616,3.511
2010,10,10,20.01,27.22,85.35,1.64,16.164,3.789
2010,10,11,20.06,26.83,86.64,2.0,20.988,4.683
2010,10,12,18.85,26.66,82.75,1.95,21.744,4.923
2010,10,13,18.93,25.81,86.92,1.44,17.892,4.005
2010,10,14,19.61,26.25,86.86,1.6,17.64,3.989
2010,10,15,19.43,26.32,87.38,2.84,17.82,3.934
2010,10,16,19.44,26.55,85.6,3.44,17.136,3.903
2010,10,17,17.89,26.68,84.73,2.98,13.968,3.33
2010,10,18,17.45,27.44,82.95,2.26,17.82,4.133
2010,10,19,18.38,27.11,83.69,1.33,19.62,4.488
2010,10,20,20.43,23.72,92.8,1.46,15.768,3.38
2010,10,21,19.73,26.42,86.12,1.49,17.856,4.072
2010,10,22,19.78,26.89,88.62,2.64,15.876000000000001,3.558
2010,10,23,19.12,25.4,89.23,2.42,16.128000000000004,3.503
2010,10,24,19.57,27.51,85.35,2.37,17.172,3.986
2010,10,25,19.19,26.94,86.85,2.14,16.416,3.74
2010,10,26,18.46,27.4,86.05,1.14,15.336,3.553
2010,10,27,19.78,26.83,87.35,1.28,18.0,4.096
2010,10,28,19.97,24.92,89.59,1.52,17.784000000000002,3.9
2010,10,29,18.73,25.74,87.46,1.92,13.14,3.02
2010,10,30,18.33,24.34,91.27,2.27,9.324,2.093
2010,10,31,18.88,24.38,89.84,2.48,11.376000000000001,2.546
2010,11,1,18.74,25.49,88.02,1.92,10.404,2.46
2010,11,2,19.29,24.91,86.89,1.39,10.152,2.418
2010,11,3,19.09,25.16,88.66,1.29,13.716000000000001,3.096
2010,11,4,18.77,26.46,87.94,1.62,14.256,3.252
2010,11,5,18.74,26.53,87.34,1.36,16.488,3.732
2010,11,6,18.22,24.72,89.0,1.18,14.76,3.266
2010,11,7,17.87,22.91,91.96,3.53,5.328,1.334
2010,11,8,18.97,26.4,89.17,3.93,8.1,2.094
2010,11,9,18.79,24.96,91.52,1.8,14.364,3.094
2010,11,10,19.4,26.69,87.79,1.58,17.28,3.898
2010,11,11,19.25,24.92,89.71,1.67,16.38,3.576
2010,11,12,17.85,26.58,87.13,1.36,18.144000000000002,4.048
2010,11,13,18.68,27.48,86.45,1.36,19.584000000000003,4.431
2010,11,14,18.63,27.24,86.51,1.83,17.712,4.011
2010,11,15,17.75,27.02,85.45,1.44,15.803999999999998,3.631
2010,11,16,18.7,24.93,89.61,2.32,8.532,2.038
2010,11,17,19.36,25.09,90.65,4.03,9.324,2.174
2010,11,18,18.5,25.37,88.24,2.97,11.879999999999999,2.737
2010,11,19,17.76,25.4,87.48,2.11,20.088,4.294
2010,11,20,16.43,26.8,81.77,1.39,20.304,4.587
2010,11,21,18.17,26.44,87.05,1.33,19.116,4.256
2010,11,22,16.96,25.71,84.89,1.45,18.864,4.179
2010,11,23,18.58,26.24,84.95,1.66,15.984000000000002,3.68
2010,11,24,18.08,25.72,85.81,2.27,15.192,3.457
2010,11,25,18.16,25.07,88.03,2.01,15.371999999999998,3.385
2010,11,26,17.46,25.17,87.04,2.45,15.515999999999998,3.416
2010,11,27,17.21,20.15,90.7,2.14,11.016,2.284
2010,11,28,17.74,25.01,87.57,2.77,16.668,3.59
2010,11,29,16.92,25.95,84.82,2.7,20.664,4.459
2010,11,30,17.06,25.54,85.51,3.29,13.104000000000001,3.066
2010,12,1,17.98,24.45,89.23,2.83,8.784,2.089
2010,12,2,18.49,24.97,89.13,2.79,11.628,2.632
2010,12,3,17.62,25.37,86.64,2.59,14.508000000000001,3.262
2010,12,4,16.87,24.68,84.58,2.6,14.868,3.366
2010,12,5,14.48,20.71,85.4,3.08,15.876000000000001,3.21
2010,12,6,13.07,23.28,81.19,3.04,9.288,2.422
2010,12,7,15.66,24.27,90.37,2.7,10.26,2.233
2010,12,8,18.59,24.5,87.77,1.98,14.796000000000001,3.279
2010,12,9,18.57,24.63,90.43,1.16,14.58,3.205
2010,12,10,17.27,25.89,84.99,2.04,15.659999999999998,3.558
2010,12,11,15.92,26.52,82.92,1.57,13.788,3.235
2010,12,12,16.29,25.53,81.43,1.59,15.803999999999998,3.648
2010,12,13,14.61,26.41,83.09,0.92,15.192,3.433
2010,12,14,17.77,25.33,87.2,1.71,13.464,3.05
2010,12,15,18.57,25.72,87.53,2.14,13.68,3.116
2010,12,16,18.08,25.61,86.05,2.85,9.360000000000001,2.39
2010,12,17,16.67,26.43,84.38,2.13,14.868,3.436
2010,12,18,15.6,25.83,83.17,2.38,14.58,3.379
2010,12,19,11.12,24.4,81.71,2.85,18.791999999999998,3.922
2010,12,20,15.88,25.18,87.18,3.29,6.516,1.807
2010,12,21,13.66,26.51,77.61,2.54,19.98,4.563
2010,12,22,9.73,25.97,70.89,1.46,21.492,4.79
2010,12,23,10.05,25.77,74.44,1.43,20.772,4.556
2010,12,24,11.82,25.05,77.49,1.7,19.764000000000003,4.326
2010,12,25,12.78,25.95,76.94,1.82,19.8,4.45
2010,12,26,12.99,26.04,77.47,1.89,20.016,4.489
2010,12,27,12.92,25.61,77.5,2.16,20.232,4.507
2010,12,28,12.48,25.39,78.84,2.53,18.864,4.188
2010,12,29,15.68,24.34,84.14,2.55,16.740000000000002,3.657
2010,12,30,15.37,26.51,80.28,2.37,18.612000000000002,4.266
2010,12,31,14.97,26.74,77.66,1.63,19.08,4.414
2011,1,1,15.67,28.37,76.75,1.53,18.756,4.483
2011,1,2,17.13,28.24,79.39,1.95,16.668,4.067
2011,1,3,17.12,26.43,80.42,2.72,14.328,3.563
2011,1,4,16.68,25.58,83.0,2.76,13.824,3.293
2011,1,5,17.33,24.87,82.76,2.69,14.256,3.368
2011,1,6,15.65,26.41,75.47,2.78,19.332,4.65
2011,1,7,14.23,28.61,73.03,2.48,20.088,4.961
2011,1,8,15.17,29.37,75.47,2.22,20.448,4.976
2011,1,9,15.78,29.23,71.58,1.88,19.152,4.85
2011,1,10,13.42,28.73,61.38,2.0,20.88,5.482
2011,1,11,11.75,28.92,49.78,2.04,21.42,6.011
2011,1,12,9.51,28.27,66.54,1.87,21.816,5.216
2011,1,13,12.4,28.98,65.26,1.68,21.672,5.369
2011,1,14,12.57,28.53,67.38,2.67,21.564,5.453
2011,1,15,12.33,28.35,70.8,2.7,21.708000000000002,5.284
2011,1,16,14.5,29.75,71.1,1.92,21.708000000000002,5.357
2011,1,17,15.08,29.67,70.18,1.3,21.564,5.259
2011,1,18,14.01,29.91,62.98,1.86,21.888,5.684
2011,1,19,11.45,30.14,61.68,1.82,22.356,5.721
2011,1,20,12.52,30.74,61.78,2.04,21.816,5.783
2011,1,21,12.58,30.06,65.08,2.55,21.672,5.696
2011,1,22,13.99,29.6,68.71,2.85,21.096,5.491
2011,1,23,13.99,28.59,69.59,3.02,20.952,5.361
2011,1,24,13.24,28.39,69.68,3.1,21.744,5.452
2011,1,25,12.51,28.96,69.29,3.2,22.104,5.567
2011,1,26,12.76,29.49,71.19,3.41,22.464000000000002,5.603
2011,1,27,13.52,29.64,66.59,3.13,22.428,5.882
2011,1,28,13.26,30.13,64.23,2.54,22.86,5.99
2011,1,29,13.65,29.37,64.99,3.12,22.752000000000002,6.01
2011,1,30,14.37,29.41,62.5,3.21,22.608,6.192
2011,1,31,12.78,29.6,61.97,3.19,23.112000000000002,6.246
2011,2,1,10.86,29.56,51.92,3.16,23.040000000000003,6.718
2011,2,2,10.76,28.66,62.19,3.18,22.5,5.926
2011,2,3,12.58,29.91,64.61,3.32,21.528000000000002,5.868
2011,2,4,13.39,29.98,59.46,2.4,21.888,5.995
2011,2,5,11.07,30.38,58.24,2.76,22.068,6.152
2011,2,6,11.52,30.48,56.34,2.6,23.652,6.509
2011,2,7,11.88,31.26,55.5,2.0,23.003999999999998,6.281
2011,2,8,11.67,31.12,51.52,2.03,23.184,6.477
2011,2,9,11.16,31.47,47.5,2.15,23.904,6.87
2011,2,10,10.82,30.92,42.16,2.64,24.228,7.395
2011,2,11,10.84,30.32,47.13,3.3,24.156,7.355
2011,2,12,11.11,30.12,50.92,2.65,23.652,6.75
2011,2,13,11.47,30.38,46.68,2.97,23.904,7.223
2011,2,14,11.07,30.78,53.83,2.67,23.759999999999998,6.7
2011,2,15,14.14,31.86,59.31,1.58,23.868,6.269
2011,2,16,15.34,31.89,59.88,1.25,19.08,5.157
2011,2,17,16.68,32.12,58.86,1.06,22.068,5.787
2011,2,18,17.31,33.01,60.17,1.77,21.564,6.059
2011,2,19,18.93,33.19,58.94,2.24,20.844,6.257
2011,2,20,19.65,32.6,60.27,2.89,19.368,6.157
2011,2,21,19.56,32.01,64.3,2.19,19.44,5.631
2011,2,22,18.97,30.54,71.65,2.44,10.692,3.506
2011,2,23,19.98,27.94,71.37,2.28,19.152,5.034
2011,2,24,18.77,29.76,66.37,2.48,18.215999999999998,5.2
2011,2,25,17.89,31.88,66.92,1.6,17.388,4.812
2011,2,26,18.37,30.57,67.91,1.98,19.08,5.189
2011,2,27,16.38,32.66,57.45,3.05,22.428,6.847
2011,2,28,14.28,32.47,52.38,3.28,24.336,7.498
2011,3,1,14.02,31.73,55.78,3.59,23.759999999999998,7.184
2011,3,2,14.89,33.1,51.77,3.23,24.048,7.572
2011,3,3,14.17,33.71,40.87,2.98,25.344,8.418
2011,3,4,14.6,35.27,34.01,2.17,26.388,8.606
2011,3,5,15.06,35.81,39.23,2.34,26.136,8.519
2011,3,6,14.03,35.92,29.89,3.02,26.748,9.766
2011,3,7,15.65,35.77,27.76,3.3,25.884,10.037
2011,3,8,17.22,36.39,31.74,2.7,25.524,9.301
2011,3,9,17.62,35.39,34.08,1.76,22.428,7.502
2011,3,10,17.03,35.9,31.52,2.43,24.732,8.819
